Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	turnover
3300	-2012.186	-1653.595	-358.5904	58.37915	0.01298528	-0.01729391	0.2193903	0.04146985	9	61.09381	0.2020964	47.4106	17.246	23.2338	24.4322	24.7256	15.2937	10.5348	17.6403	18.8513	15.8547	15.0707	8.68824	9.28647	11.3879	10.5544	6.83386	5.17271	8.04301	13.2153	7.66722	22.8445	22.9875	22.2193	17.0793	19.7915	27.7634	24.6429	23.8112	26.8896	37.9425	27.9969	32.0825	26.4733	40.9535	46.2519	46.1713	45.4242	36.2765	1.085573
3400	-1998.372	-1648.167	-350.2052	56.71367	0.01192738	-0.0005524751	0.198393	0.04295131	11	68.77185	0.1978406	47.4106	15.0858	23.1876	25.4958	26.5959	15.0715	17.7895	18.4679	17.6993	15.46	14.8844	9.77985	11.294	11.8118	11.2303	6.69618	5.17271	9.42445	14.9003	11.8223	22.2184	21.4994	22.0557	17.5846	18.0104	28.0514	25.425	23.8112	26.8896	37.9425	23.6242	32.7599	26.8045	40.4819	42.1424	43.732	44.9502	36.2765	1.002793
3500	-2006.717	-1655.278	-351.4399	57.44389	0.01134567	-0.0149591	0.2671995	0.04549183	11	60.33663	0.2522404	47.2193	14.0134	23.0462	25.1837	27.6159	12.0904	11.1777	20.0759	19.4722	15.251	14.2993	7.58716	11.294	12.3088	9.9269	6.62347	5.17271	8.65599	14.2518	11.5976	22.3727	21.1489	22.0091	17.3337	19.8268	27.9171	25.2912	23.8112	27.0164	37.9425	23.5892	29.9812	26.8167	39.639	44.9367	43.3031	45.8076	43.1482	1.059305
3600	-1999.524	-1659.731	-339.7928	57.32098	0.01512552	7.022424e-05	0.2564807	0.07237722	14	61.07905	0.256551	47.2193	14.2638	23.531	25.1837	27.6159	11.236	15.8872	17.825	18.1885	11.73	15.1687	9.46558	7.78284	12.2341	11.2651	4.69868	5.06669	6.41784	10.2314	11.4354	22.6008	20.9382	21.3443	17.311	18.4317	27.9171	24.0009	23.8112	28.011	37.9425	30.7005	30.2185	26.1411	39.4495	43.9864	43.9085	42.8316	44.1129	0.9997263
3700	-2002.756	-1660.73	-342.0267	57.05901	0.01537643	0.03779142	0.2566967	0.04951339	13	60.72865	0.2944881	47.4719	15.3023	23.0548	27.0218	26.3136	15.8925	17.3259	18.1112	19.9875	12.5596	13.9887	11.2236	11.1073	12.2341	8.12112	3.2637	4.96504	6.27154	11.1595	9.15139	21.5819	20.9382	21.3443	16.8903	18.4317	27.3081	23.1229	23.471	28.011	37.9425	28.7241	30.2185	26.1411	39.4495	43.9864	44.3626	44.119	46.5812	0.8716708
3800	-1998.603	-1657.064	-341.5391	52.2548	0.01398662	-0.0286741	0.2898315	0.05660578	15	63.28404	0.2611574	46.6299	15.9848	24.1931	25.9075	26.3136	12.4326	11.8933	18.1112	17.1814	13.2724	15.3892	11.2943	8.77735	12.2341	10.2176	4.75228	4.96504	10.1973	6.71001	9.76105	21.1159	21.1166	21.4467	16.2182	19.0221	26.8156	23.1229	23.471	26.4472	37.9017	23.3581	31.7293	23.4083	38.9625	42.5364	42.7381	44.119	46.5812	1.109796
3900	-2001.033	-1667.278	-333.7549	54.69554	0.01495564	0.020339	0.1489036	0.08408989	16	61.64044	0.1692427	47.6194	15.9848	23.774	27.2801	28.2265	11.9675	13.2834	18.5888	18.329	13.4945	14.1944	8.67278	9.14236	12.3932	10.3296	4.22662	4.99086	10.1973	15.3873	18.106	20.6653	21.1166	22.3092	17.5643	18.0953	27.4806	23.1229	23.471	26.4472	37.9017	24.3631	31.7293	23.0981	39.8488	42.5364	43.575	45.3862	43.121	0.8798234
4000	-1996.615	-1659.035	-337.5801	54.50325	0.01426069	-0.01141038	0.1562652	0.05398143	14	63.64425	0.1448548	44.3021	17.4125	23.098	26.1544	26.1872	11.4996	11.2683	19.9978	20.0362	13.336	13.9566	9.12823	9.32061	11.3255	10.5001	2.98984	4.99086	7.55132	15.8448	18.3618	20.6653	22.5539	22.3121	18.3911	20.5791	26.953	23.1229	23.7458	21.8973	37.9017	24.6427	31.8342	26.2352	41.0269	43.2043	42.7685	44.2792	41.0139	1.078771
4100	-1990.466	-1655.322	-335.144	54.46466	0.01524006	-0.005986976	0.1750567	0.06555596	15	66.61789	0.1690697	44.5466	17.3416	23.2137	26.6368	24.0782	13.6073	17.295	16.7395	20.0362	11.7342	15.7379	9.11792	9.55608	12.2831	10.896	4.4594	4.99086	7.68587	15.8448	18.5981	20.6653	22.5539	21.8148	16.7789	22.4224	25.7738	23.1229	23.9425	18.1189	36.3369	24.4239	30.9226	27.7589	41.0269	43.783	42.5081	44.5903	37.1802	1.035411
4200	-1995.234	-1655.93	-339.3036	52.0154	0.01568454	0.004373153	0.1980049	0.06737526	14	60.12374	0.202378	46.6066	18.6638	23.4571	27.7885	23.3215	13.3121	13.0827	16.9311	20.1583	13.6498	14.2298	8.40604	8.21985	12.1933	10.0383	3.11781	4.99086	9.55971	15.0461	19.5986	20.6653	22.5539	21.8148	16.2735	22.1035	25.5999	23.1229	23.9425	21.1718	37.9636	23.3387	29.3753	24.1399	39.2591	43.783	44.4783	42.6387	37.1802	0.9783912
4300	-1995.991	-1649.657	-346.3338	54.44853	0.01347026	0.03476256	0.2551675	0.07170739	12	65.80157	0.2899301	46.6066	17.2041	23.8262	25.8779	24.9769	13.4958	16.602	18.5225	20.1583	13.1106	14.2298	11.3773	10.991	12.1933	9.80309	5.25135	5.20724	6.78787	14.8389	19.4318	22.0299	21.0673	22.2437	16.2735	22.1035	26.3843	23.1229	23.2876	20.4783	37.9636	25.7425	31.4384	23.9385	39.7318	43.783	41.73	42.6853	37.1802	0.8801002
4400	-1998.074	-1656.244	-341.8298	53.99866	0.01353739	-0.01356739	0.1649783	0.06359838	12	59.61759	0.1514109	46.5669	20.5272	23.8687	26.6301	25.3495	15.8966	17.0423	17.6028	19.3439	14.4238	14.5933	10.7356	10.991	12.1933	9.8312	5.35763	5.20724	10.0626	15.6197	16.96	22.3816	21.0673	21.8391	17.0415	20.6678	26.9549	23.035	23.1155	22.2145	37.9636	25.1521	32.5762	27.9208	39.7318	44.7579	43.9535	44.8558	39.6166	1.089606
4500	-2005.94	-1656.391	-349.5497	56.42449	0.01299207	-0.006661253	0.2105236	0.05395262	12	61.21066	0.2038624	46.5638	13.9039	23.842	26.4756	25.2736	16.069	14.8288	19.9635	18.3864	13.673	14.8258	10.5853	9.44503	12.1933	10.6747	4.01476	5.20724	9.35022	14.2014	14.255	22.2384	20.5719	22.69	17.5827	17.0685	27.6435	23.3941	23.1155	23.2776	37.5693	29.2695	31.88	26.2787	40.9135	43.8265	46.1374	42.2095	37.5088	1.032675
4600	-2016.965	-1657.913	-359.0527	52.80772	0.01157089	0.03603262	0.3066991	0.04880816	9	64.38668	0.3427317	47.7767	17.2285	24.1057	26.1463	25.0345	13.7064	15.9811	19.9635	18.3864	13.2099	14.8258	8.34406	9.6623	11.9136	8.89606	3.1423	5.20724	9.26586	13.8212	12.7685	22.2384	20.9812	20.5328	17.5827	17.5967	25.9692	23.3941	23.1155	23.4276	37.5693	27.7681	31.88	29.199	40.9135	43.217	46.9213	43.1529	34.5835	0.8948664
4700	-2004.787	-1658.962	-345.825	56.75501	0.01498408	0.03203596	0.1701943	0.06310074	12	67.97781	0.2022302	47.7767	17.2285	23.7002	26.401	26.2649	12.6828	19.7654	19.1787	20.0946	11.7857	14.8258	9.43432	7.75893	12.0173	10.6989	4.08685	5.20724	7.78773	14.2504	12.4847	21.6665	20.9938	20.6253	19.1902	17.6846	28.0126	25.6174	23.1155	22.1692	37.5693	25.2837	32.1253	28.5581	39.0029	43.217	41.9969	44.4453	40.4317	0.8415867
4800	-2002.119	-1659.772	-342.3475	58.75793	0.01415835	0.02164221	0.2355811	0.05478775	14	67.05642	0.2572233	45.4789	18.589	23.5551	28.0606	25.4259	13.2884	19.7654	19.1787	18.3514	12.6557	14.8258	9.058	9.56656	12.3037	10.6989	3.61648	5.20724	6.92531	14.2504	11.0265	21.6665	22.513	20.7816	19.1902	20.4559	28.0057	24.0979	25.733	24.051	37.5693	24.2316	32.1253	27.5591	39.6664	42.4665	41.6346	45.4345	37.7003	0.9158622
4900	-1998.175	-1656.445	-341.7305	54.05104	0.01217858	0.02022714	0.184277	0.06124131	15	61.32992	0.2045042	44.8667	18.9051	23.7545	26.7205	27.4784	11.3998	18.6153	19.3352	18.8835	12.079	15.4433	8.76175	7.49692	11.6245	9.30143	2.99276	5.10773	9.33511	16.0429	7.11084	20.7014	22.1599	20.6104	16.6362	18.0656	28.0057	24.0979	25.733	22.2697	37.3739	23.2183	32.377	29.6393	39.7227	42.0986	42.5674	42.7275	35.2464	0.9010918
5000	-1995.618	-1653.495	-342.1235	52.79891	0.01472926	0.02200135	0.1622043	0.043979	14	62.61565	0.1842057	44.8667	17.0511	26.5093	24.199	26.8915	11.7462	18.2551	17.8086	19.9515	13.1366	15.4433	7.51958	9.29999	12.0087	10.7878	5.72015	5.10773	5.67647	16.0429	9.18409	20.7014	22.1599	21.7398	16.2977	17.6032	27.9415	24.0979	25.4456	23.2021	37.9395	24.6326	32.3718	29.6393	39.7227	43.935	43.46	43.3233	35.2464	0.8805609
